Date,Price Index,Index Type
1/1/1990,106.9,Food
1/2/1990,108,Food
1/3/1990,106.3,Food
1/4/1990,112.8,Food
1/5/1990,109.8,Food
1/6/1990,107.3,Food
1/7/1990,104.1,Food
1/8/1990,100.9,Food
1/9/1990,102.4,Food
1/10/1990,101.4,Food
1/11/1990,101,Food
1/12/1990,103.9,Food
1/1/1991,103.1,Food
1/2/1991,104.9,Food
1/3/1991,103.6,Food
1/4/1991,100.7,Food
1/5/1991,99.5,Food
1/6/1991,100.7,Food
1/7/1991,100.9,Food
1/8/1991,101.4,Food
1/9/1991,103.5,Food
1/10/1991,106.9,Food
1/11/1991,108.9,Food
1/12/1991,108.8,Food
1/1/1992,108.8,Food
1/2/1992,110.4,Food
1/3/1992,109.1,Food
1/4/1992,108.6,Food
1/5/1992,109.8,Food
1/6/1992,111.9,Food
1/7/1992,109.7,Food
1/8/1992,107.6,Food
1/9/1992,108,Food
1/10/1992,105.9,Food
1/11/1992,107.8,Food
1/12/1992,103.9,Food
1/1/1993,105.1,Food
1/2/1993,105.1,Food
1/3/1993,106.7,Food
1/4/1993,105.5,Food
1/5/1993,105.5,Food
1/6/1993,102.9,Food
1/7/1993,103.3,Food
1/8/1993,101.3,Food
1/9/1993,101.9,Food
1/10/1993,103.5,Food
1/11/1993,106.5,Food
1/12/1993,107.9,Food
1/1/1994,109.1,Food
1/2/1994,108.3,Food
1/3/1994,107.8,Food
1/4/1994,105.3,Food
1/5/1994,108.5,Food
1/6/1994,108,Food
1/7/1994,105.7,Food
1/8/1994,109,Food
1/9/1994,113.4,Food
1/10/1994,114.4,Food
1/11/1994,118.4,Food
1/12/1994,118.5,Food
1/1/1995,118.1,Food
1/2/1995,120.5,Food
1/3/1995,121.8,Food
1/4/1995,118.3,Food
1/5/1995,118.6,Food
1/6/1995,120.8,Food
1/7/1995,126.5,Food
1/8/1995,124.2,Food
1/9/1995,125.4,Food
1/10/1995,129.2,Food
1/11/1995,128,Food
1/12/1995,126.8,Food
1/1/1996,128.8,Food
1/2/1996,129.3,Food
1/3/1996,130.9,Food
1/4/1996,134.1,Food
1/5/1996,137.2,Food
1/6/1996,134.5,Food
1/7/1996,133.1,Food
1/8/1996,132.3,Food
1/9/1996,127,Food
1/10/1996,122.8,Food
1/11/1996,119.8,Food
1/12/1996,119.6,Food
1/1/1997,118.1,Food
1/2/1997,119.6,Food
1/3/1997,122.2,Food
1/4/1997,122.2,Food
1/5/1997,121.9,Food
1/6/1997,117.9,Food
1/7/1997,115,Food
1/8/1997,116.6,Food
1/9/1997,116,Food
1/10/1997,117.5,Food
1/11/1997,118.4,Food
1/12/1997,115.1,Food
1/1/1998,113.5,Food
1/2/1998,113.1,Food
1/3/1998,112.7,Food
1/4/1998,111.4,Food
1/5/1998,109.8,Food
1/6/1998,106.7,Food
1/7/1998,105.1,Food
1/8/1998,102.8,Food
1/9/1998,101.2,Food
1/10/1998,102.7,Food
1/11/1998,103.1,Food
1/12/1998,102.6,Food
1/1/1999,101.1,Food
1/2/1999,96.8,Food
1/3/1999,94.6,Food
1/4/1999,92.3,Food
1/5/1999,91.7,Food
1/6/1999,91,Food
1/7/1999,88.3,Food
1/8/1999,91,Food
1/9/1999,91.6,Food
1/10/1999,90.7,Food
1/11/1999,90.2,Food
1/12/1999,88.4,Food
1/1/2000,87.6,Food
1/2/2000,89,Food
1/3/2000,88.8,Food
1/4/2000,89,Food
1/5/2000,89.1,Food
1/6/2000,90.1,Food
1/7/2000,90.5,Food
1/8/2000,90.3,Food
1/9/2000,90,Food
1/10/2000,91.7,Food
1/11/2000,91.7,Food
1/12/2000,94.2,Food
1/1/2001,92,Food
1/2/2001,92.8,Food
1/3/2001,94.1,Food
1/4/2001,92.5,Food
1/5/2001,94,Food
1/6/2001,92.8,Food
1/7/2001,95.4,Food
1/8/2001,95.2,Food
1/9/2001,93.7,Food
1/10/2001,91.8,Food
1/11/2001,92.6,Food
1/12/2001,92.3,Food
1/1/2002,90.2,Food
1/2/2002,88.3,Food
1/3/2002,88.4,Food
1/4/2002,86.8,Food
1/5/2002,85.3,Food
1/6/2002,86.1,Food
1/7/2002,88.1,Food
1/8/2002,89.7,Food
1/9/2002,93,Food
1/10/2002,93.4,Food
1/11/2002,95.2,Food
1/12/2002,94.6,Food
1/1/2003,95.5,Food
1/2/2003,97.2,Food
1/3/2003,95.3,Food
1/4/2003,94.5,Food
1/5/2003,95.4,Food
1/6/2003,95.6,Food
1/7/2003,94.7,Food
1/8/2003,96.2,Food
1/9/2003,98.2,Food
1/10/2003,100.8,Food
1/11/2003,103.6,Food
1/12/2003,105.3,Food
1/1/2004,108.4,Food
1/2/2004,109.6,Food
1/3/2004,113.2,Food
1/4/2004,113.4,Food
1/5/2004,111.9,Food
1/6/2004,114,Food
1/7/2004,113,Food
1/8/2004,112.3,Food
1/9/2004,112.8,Food
1/10/2004,112.1,Food
1/11/2004,113.7,Food
1/12/2004,114.4,Food
1/1/2005,114.8,Food
1/2/2005,114.1,Food
1/3/2005,117,Food
1/4/2005,114.8,Food
1/5/2005,115.9,Food
1/6/2005,117.1,Food
1/7/2005,117,Food
1/8/2005,116.8,Food
1/9/2005,118.7,Food
1/10/2005,120.4,Food
1/11/2005,119.1,Food
1/12/2005,121.5,Food
1/1/2006,121.1,Food
1/2/2006,125.6,Food
1/3/2006,123.1,Food
1/4/2006,124.8,Food
1/5/2006,125.5,Food
1/6/2006,124.7,Food
1/7/2006,127.7,Food
1/8/2006,126,Food
1/9/2006,125.1,Food
1/10/2006,128.3,Food
1/11/2006,132.5,Food
1/12/2006,134.4,Food
1/1/2007,133.8,Food
1/2/2007,136.4,Food
1/3/2007,137.4,Food
1/4/2007,140.6,Food
1/5/2007,144.7,Food
1/6/2007,154,Food
1/7/2007,160.1,Food
1/8/2007,166.4,Food
1/9/2007,175.3,Food
1/10/2007,178.2,Food
1/11/2007,185.1,Food
1/12/2007,190.8,Food
1/1/2008,199.6,Food
1/2/2008,215.2,Food
1/3/2008,218.1,Food
1/4/2008,217.1,Food
1/5/2008,218.3,Food
1/6/2008,224.1,Food
1/7/2008,220.2,Food
1/8/2008,208.6,Food
1/9/2008,196.5,Food
1/10/2008,172.4,Food
1/11/2008,157.1,Food
1/12/2008,148,Food
1/1/2009,146.2,Food
1/2/2009,141.2,Food
1/3/2009,143,Food
1/4/2009,147.4,Food
1/5/2009,157.5,Food
1/6/2009,158,Food
1/7/2009,154.1,Food
1/8/2009,159.4,Food
1/9/2009,159.8,Food
1/10/2009,162.8,Food
1/11/2009,174.7,Food
1/12/2009,177.9,Food
1/1/2010,179.8,Food
1/2/2010,175.9,Food
1/3/2010,168.4,Food
1/4/2010,170,Food
1/5/2010,169.5,Food
1/6/2010,168.1,Food
